experiment_id,experiment_label,publication_status,source_workbook,source_row,source_column,host,host_type,plant_id,plant_number,treatment_class,isolate_1,isolate_2,mixture_ratio,total_dose_conidia_per_ml,component_dose_conidia_per_ml,condition_id,technical_subsamples,plant_mean_score,raw_code
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,12,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P03,3,single,AMP170,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP170|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,13,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP170,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP170|1000000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,13,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP170,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP170|500000,3,1.6666666666666667,212
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,13,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP170,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP170|100000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,13,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP170,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP170|50000,3,1.6666666666666667,113
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,13,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP170,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP170|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,13,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP170,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP170|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,14,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP170,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP170|1000000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,14,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP170,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP170|500000,3,1.3333333333333333,112
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,14,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP170,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP170|100000,3,1.3333333333333333,121
